鄉鎮市,年齡層,性別,人口數
長濱鄉,75-79歲,女,204
長濱鄉,80-84歲,女,137
長濱鄉,85-89歲,女,93
長濱鄉,90歲以上,女,62
海端鄉,0-4歲,男,-118
海端鄉,5-9歲,男,-97
海端鄉,10-14歲,男,-121
海端鄉,15-19歲,男,-166
海端鄉,20-24歲,男,-163
海端鄉,25-29歲,男,-178
海端鄉,30-34歲,男,-170
海端鄉,35-39歲,男,-181
海端鄉,40-44歲,男,-170
海端鄉,45-49歲,男,-166
海端鄉,50-54歲,男,-181
海端鄉,55-59歲,男,-149
海端鄉,60-64歲,男,-146
海端鄉,65-69歲,男,-109
海端鄉,70-74歲,男,-73
海端鄉,75-79歲,男,-31
海端鄉,80-84歲,男,-7
海端鄉,85-89歲,男,-6
海端鄉,90歲以上,男,-1
海端鄉,0-4歲,女,96
海端鄉,5-9歲,女,87
海端鄉,10-14歲,女,120
海端鄉,15-19歲,女,147
海端鄉,20-24歲,女,148
海端鄉,25-29歲,女,176
海端鄉,30-34歲,女,157
海端鄉,35-39歲,女,159
海端鄉,40-44歲,女,166
海端鄉,45-49歲,女,157
海端鄉,50-54歲,女,147
海端鄉,55-59歲,女,139
海端鄉,60-64歲,女,127
海端鄉,65-69歲,女,114
海端鄉,70-74歲,女,78
海端鄉,75-79歲,女,30
海端鄉,80-84歲,女,24
海端鄉,85-89歲,女,17
海端鄉,90歲以上,女,6
鹿野鄉,0-4歲,男,-79
鹿野鄉,5-9歲,男,-66
鹿野鄉,10-14歲,男,-72
鹿野鄉,15-19歲,男,-148
鹿野鄉,20-24歲,男,-185
鹿野鄉,25-29歲,男,-240
鹿野鄉,30-34歲,男,-220
鹿野鄉,35-39歲,男,-217
鹿野鄉,40-44歲,男,-246
鹿野鄉,45-49歲,男,-291
鹿野鄉,50-54歲,男,-298
鹿野鄉,55-59歲,男,-363
鹿野鄉,60-64歲,男,-380
鹿野鄉,65-69歲,男,-276
鹿野鄉,70-74歲,男,-243
鹿野鄉,75-79歲,男,-135
鹿野鄉,80-84歲,男,-98
鹿野鄉,85-89歲,男,-65
鹿野鄉,90歲以上,男,-28
鹿野鄉,0-4歲,女,75
鹿野鄉,5-9歲,女,77
鹿野鄉,10-14歲,女,74
鹿野鄉,15-19歲,女,100
鹿野鄉,20-24歲,女,180
鹿野鄉,25-29歲,女,214
鹿野鄉,30-34歲,女,197
鹿野鄉,35-39歲,女,145
鹿野鄉,40-44歲,女,201
鹿野鄉,45-49歲,女,247
鹿野鄉,50-54歲,女,235
鹿野鄉,55-59歲,女,279
鹿野鄉,60-64歲,女,287
鹿野鄉,65-69歲,女,257
鹿野鄉,70-74歲,女,252
鹿野鄉,75-79歲,女,175
鹿野鄉,80-84歲,女,124
鹿野鄉,85-89歲,女,97
鹿野鄉,90歲以上,女,62
達仁鄉,0-4歲,男,-70
達仁鄉,5-9歲,男,-56
達仁鄉,10-14歲,男,-51
達仁鄉,15-19歲,男,-94
達仁鄉,20-24歲,男,-100
達仁鄉,25-29歲,男,-135
達仁鄉,30-34歲,男,-138
達仁鄉,35-39歲,男,-127
達仁鄉,40-44歲,男,-124
達仁鄉,45-49歲,男,-171
達仁鄉,50-54歲,男,-172
達仁鄉,55-59歲,男,-158
達仁鄉,60-64歲,男,-163
達仁鄉,65-69歲,男,-136
達仁鄉,70-74歲,男,-74
達仁鄉,75-79歲,男,-35
達仁鄉,80-84歲,男,-22
達仁鄉,85-89歲,男,-8
達仁鄉,90歲以上,男,-3
達仁鄉,0-4歲,女,71
達仁鄉,5-9歲,女,56
達仁鄉,10-14歲,女,46
達仁鄉,15-19歲,女,71
達仁鄉,20-24歲,女,73
達仁鄉,25-29歲,女,106
達仁鄉,30-34歲,女,113
達仁鄉,35-39歲,女,111
達仁鄉,40-44歲,女,116
達仁鄉,45-49歲,女,134
達仁鄉,50-54歲,女,115
達仁鄉,55-59歲,女,144
達仁鄉,60-64歲,女,130
達仁鄉,65-69歲,女,127
達仁鄉,70-74歲,女,89
達仁鄉,75-79歲,女,58
達仁鄉,80-84歲,女,25
達仁鄉,85-89歲,女,14
達仁鄉,90歲以上,女,7
綠島鄉,0-4歲,男,-49
綠島鄉,5-9歲,男,-60
綠島鄉,10-14歲,男,-59
綠島鄉,15-19歲,男,-80
綠島鄉,20-24歲,男,-118
綠島鄉,25-29歲,男,-215
綠島鄉,30-34歲,男,-253
綠島鄉,35-39歲,男,-228
綠島鄉,40-44歲,男,-207
綠島鄉,45-49歲,男,-196
綠島鄉,50-54歲,男,-200
綠島鄉,55-59歲,男,-181
綠島鄉,60-64歲,男,-135
綠島鄉,65-69歲,男,-147
綠島鄉,70-74歲,男,-88
綠島鄉,75-79歲,男,-59
綠島鄉,80-84歲,男,-28
綠島鄉,85-89歲,男,-17
綠島鄉,90歲以上,男,-6
綠島鄉,0-4歲,女,54
綠島鄉,5-9歲,女,59
綠島鄉,10-14歲,女,60
綠島鄉,15-19歲,女,68
綠島鄉,20-24歲,女,102
綠島鄉,25-29歲,女,233
綠島鄉,30-34歲,女,216
綠島鄉,35-39歲,女,168
綠島鄉,40-44歲,女,137
綠島鄉,45-49歲,女,172
綠島鄉,50-54歲,女,150
綠島鄉,55-59歲,女,138
綠島鄉,60-64歲,女,123
綠島鄉,65-69歲,女,112
綠島鄉,70-74歲,女,76
綠島鄉,75-79歲,女,58
綠島鄉,80-84歲,女,28
綠島鄉,85-89歲,女,22
綠島鄉,90歲以上,女,18
臺東市,0-4歲,男,-1756
臺東市,5-9歲,男,-2367
臺東市,10-14歲,男,-2645
臺東市,15-19歲,男,-2316
臺東市,20-24歲,男,-2773
臺東市,25-29歲,男,-3618
臺東市,30-34歲,男,-3735
臺東市,35-39歲,男,-3425
臺東市,40-44歲,男,-3745
臺東市,45-49歲,男,-3770
臺東市,50-54歲,男,-3660
臺東市,55-59歲,男,-4051
臺東市,60-64歲,男,-3785
臺東市,65-69歲,男,-3260
臺東市,70-74歲,男,-2456
臺東市,75-79歲,男,-1517
臺東市,80-84歲,男,-860
臺東市,85-89歲,男,-497
臺東市,90歲以上,男,-321
臺東市,0-4歲,女,1615
臺東市,5-9歲,女,2124
臺東市,10-14歲,女,2393
臺東市,15-19歲,女,2196
臺東市,20-24歲,女,2634
臺東市,25-29歲,女,3371
臺東市,30-34歲,女,3384
臺東市,35-39歲,女,3083
臺東市,40-44歲,女,3695
臺東市,45-49歲,女,4005
臺東市,50-54歲,女,4138
臺東市,55-59歲,女,4088
臺東市,60-64歲,女,4002
臺東市,65-69歲,女,3506
臺東市,70-74歲,女,3227
臺東市,75-79歲,女,2045
臺東市,80-84歲,女,1335
臺東市,85-89歲,女,821
臺東市,90歲以上,女,414
關山鎮,0-4歲,男,-82
關山鎮,5-9歲,男,-147
關山鎮,10-14歲,男,-168
關山鎮,15-19歲,男,-126
關山鎮,20-24歲,男,-187
關山鎮,25-29歲,男,-270
關山鎮,30-34歲,男,-283
關山鎮,35-39歲,男,-239
關山鎮,40-44歲,男,-267
關山鎮,45-49歲,男,-252
關山鎮,50-54歲,男,-311
關山鎮,55-59歲,男,-382
關山鎮,60-64歲,男,-369
關山鎮,65-69歲,男,-309
關山鎮,70-74歲,男,-247
關山鎮,75-79歲,男,-133
關山鎮,80-84歲,男,-91
關山鎮,85-89歲,男,-71
關山鎮,90歲以上,男,-42
關山鎮,0-4歲,女,111
關山鎮,5-9歲,女,145
關山鎮,10-14歲,女,159
關山鎮,15-19歲,女,145
關山鎮,20-24歲,女,168
關山鎮,25-29歲,女,248
關山鎮,30-34歲,女,217
關山鎮,35-39歲,女,197
關山鎮,40-44歲,女,226
關山鎮,45-49歲,女,257
關山鎮,50-54歲,女,266
關山鎮,55-59歲,女,298
關山鎮,60-64歲,女,288
關山鎮,65-69歲,女,310
關山鎮,70-74歲,女,255
關山鎮,75-79歲,女,186
關山鎮,80-84歲,女,127
關山鎮,85-89歲,女,116
關山鎮,90歲以上,女,56
蘭嶼鄉,0-4歲,男,-103
蘭嶼鄉,5-9歲,男,-133
蘭嶼鄉,10-14歲,男,-132
蘭嶼鄉,15-19歲,男,-129
蘭嶼鄉,20-24歲,男,-176
蘭嶼鄉,25-29歲,男,-246
蘭嶼鄉,30-34歲,男,-226
蘭嶼鄉,35-39歲,男,-208
蘭嶼鄉,40-44歲,男,-247
蘭嶼鄉,45-49歲,男,-209
蘭嶼鄉,50-54歲,男,-194
蘭嶼鄉,55-59歲,男,-183
蘭嶼鄉,60-64歲,男,-134
蘭嶼鄉,65-69歲,男,-135
蘭嶼鄉,70-74歲,男,-96
蘭嶼鄉,75-79歲,男,-29
蘭嶼鄉,80-84歲,男,-15
蘭嶼鄉,85-89歲,男,-6
蘭嶼鄉,90歲以上,男,-9
蘭嶼鄉,0-4歲,女,92
蘭嶼鄉,5-9歲,女,106
蘭嶼鄉,10-14歲,女,113
蘭嶼鄉,15-19歲,女,119
蘭嶼鄉,20-24歲,女,144
蘭嶼鄉,25-29歲,女,257
蘭嶼鄉,30-34歲,女,253
蘭嶼鄉,35-39歲,女,232
蘭嶼鄉,40-44歲,女,232
蘭嶼鄉,45-49歲,女,235
蘭嶼鄉,50-54歲,女,200
蘭嶼鄉,55-59歲,女,168
蘭嶼鄉,60-64歲,女,163
蘭嶼鄉,65-69歲,女,117
蘭嶼鄉,70-74歲,女,79
蘭嶼鄉,75-79歲,女,46
蘭嶼鄉,80-84歲,女,21
蘭嶼鄉,85-89歲,女,7
蘭嶼鄉,90歲以上,女,13
總計,0-4歲,男,-3246
總計,5-9歲,男,-3970
總計,10-14歲,男,-4407
總計,15-19歲,男,-4463
總計,20-24歲,男,-5728
總計,25-29歲,男,-7261
總計,30-34歲,男,-7528
總計,35-39歲,男,-6882
總計,40-44歲,男,-7805
總計,45-49歲,男,-8302
總計,50-54歲,男,-8385
總計,55-59歲,男,-9122
總計,60-64歲,男,-8812
總計,65-69歲,男,-7272
總計,70-74歲,男,-5539
總計,75-79歲,男,-3263
總計,80-84歲,男,-1920
總計,85-89歲,男,-1152
總計,90歲以上,男,-724
總計,0-4歲,女,3071
總計,5-9歲,女,3612
總計,10-14歲,女,4019
總計,15-19歲,女,4136
總計,20-24歲,女,5254
總計,25-29歲,女,6801
總計,30-34歲,女,6639
總計,35-39歲,女,5932
總計,40-44歲,女,7080
